Title,Description,Genres,Cast,IMDb Rating,Release Year,Poster URL
"Stranger Things","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Drama, Fantasy, Horror","Winona Ryder, David Harbour, Finn Wolfhard",8.7,2016,https://m.media-amazon.com/images/M/MV5BMDZkYmVhNjMtNWU4MC00MDQxLWE3MjYtZGMzZWI1ZjhlOWJmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"Breaking Bad","A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.","Crime, Drama","Bryan Cranston, Aaron Paul, Anna Gunn",9.5,2008,https://m.media-amazon.com/images/M/MV5BODFhZjAwNjEtZDFjNi00ZTEyLThkNzUtMjMwMWZhNGQwZGgyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"The Witcher","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","Action, Adventure, Drama","Henry Cavill, Freya Allan, Anya Chalotra",8.2,2019,https://m.media-amazon.com/images/M/MV5BN2FiOWU4YzYtMzZiOS00MzcyLTlkOGEtOTgwZmE2MzIxYTQ1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"Dark","A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","Crime, Drama, Mystery","Louis Hofmann, Karoline Eichhorn, Lisa Vicari",8.8,2017,https://m.media-amazon.com/images/M/MV5BOTk2NzUyOTctZDdlMS00MDJlLTg3MTEtMjlkZTcwMTg2YjM1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"Black Mirror","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Drama, Mystery, Sci-Fi","Daniel Lapaine, Hannah John-Kamen, Michaela Coel",8.8,2011,https://m.media-amazon.com/images/M/MV5BYTM3YWVhMDMtNjczMy00NGEyLWJhZDctYjNhMTRkNDE0ZTI1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"The Crown","Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.","Biography, Drama, History","Claire Foy, Olivia Colman, Imelda Staunton",8.6,2016,https://m.media-amazon.com/images/M/MV5BODk3OWM4OTItMWFjYS00NTEzLThlZjItMzhkZWM1ODFkYmQxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"Mindhunter","Set in the late 1970s, two FBI agents are tasked with expanding criminal science by delving into the psychology of murder and getting uneasily close to all-too-real monsters.","Crime, Drama, Thriller","Jonathan Groff, Holt McCallany, Anna Torv",8.6,2017,https://m.media-amazon.com/images/M/MV5BNWNmYzQ1ZWUtYTQ3Ny00Y2VjLHJiZTktNTJiOGQ4ZDNkNDI2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"Friends","Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.","Comedy, Romance","Jennifer Aniston, Courteney Cox, Lisa Kudrow",8.9,1994,https://m.media-amazon.com/images/M/MV5BNDVkYjU0MzctMzg1MS00NzE3LTkyZmYtZjE5MjY2NzMzZWE5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"The Office","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","Comedy","Steve Carell, Jenna Fischer, John Krasinski",9.0,2005,https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_SX300.jpg
"Sherlock","A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.","Crime, Drama, Mystery","Benedict Cumberbatch, Martin Freeman, Una Stubbs",9.1,2010,https://m.media-amazon.com/images/M/MV5BMWY3NTljMjEtYzRiMi00NWM2LTkzNjItZTVmZjE0MTdjMjJhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTQ4NTc5OTU@._V1_SX300.jpg
"Game of Thrones","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Action, Adventure, Drama","Emilia Clarke, Peter Dinklage, Kit Harington",9.2,2011,https://m.media-amazon.com/images/M/MV5BYTRiNDQwYzAtMzVlZS00NTI5LWJjYjUtMzkwNTUzMWMxZTllXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_SX300.jpg
"The Mandalorian","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Action, Adventure, Fantasy","Pedro Pascal, Carl Weathers, Rio Hackford",8.7,2019,https://m.media-amazon.com/images/M/MV5BZDhlMzY0ZGItZTcyNS00ZTAxLWIyMmYtZGQ2ODg5OWZiYmJkXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_SX300.jpg
"Better Call Saul","The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Crime, Drama","Bob Odenkirk, Rhea Seehorn, Jonathan Banks",8.9,2015,https://m.media-amazon.com/images/M/MV5BMGe2YmJkMGQtZThlYS00NjgwLWIzNjMtNTk5MDQ2MjExMTE1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"Narcos","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Biography, Crime, Drama","Pedro Pascal, Wagner Moura, Boyd Holbrook",8.8,2015,https://m.media-amazon.com/images/M/MV5BNmFjODU3MzgtMzg2NC00YjhmLWE3YWEtY2NhZjExY2ZhZDQ2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"Peaky Blinders","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Crime, Drama","Cillian Murphy, Paul Anderson, Helen McCrory",8.8,2013,https://m.media-amazon.com/images/M/MV5BMTkzNjEzMDEzMF5BMl5BanBnXkFtZTgwMDI0MjE4MjE@._V1_SX300.jpg
"The Boys","A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.","Action, Comedy, Crime","Karl Urban, Jack Quaid, Antony Starr",8.7,2019,https://m.media-amazon.com/images/M/MV5BNGEyOGJiNWEtMTgwMi00ODU4LTlkMjItZWI4NjFmMzgxZGY2XkEyXkFqcGdeQXVyNjcyNjMzNDQ@._V1_SX300.jpg
"Squid Game","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes.","Action, Drama, Mystery","Lee Jung-jae, Park Hae-soo, Wi Ha-joon",8.0,2021,https://m.media-amazon.com/images/M/MV5BYWE3MDVkN2EtNjQ5MS00ZDQ4LTliNzYtMjc2YWMzZWQwZDA3XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg
"Arcane","Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.","Animation, Action, Adventure","Hailee Steinfeld, Kevin Alejandro, Jason Spisak",9.0,2021,https://m.media-amazon.com/images/M/MV5BYmU5OWM5ZTAtNjUzOC00NmUyLTgyOWMtMjlkNjdlMDAzMzU1XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg
"Chernobyl","In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.","Drama, History, Thriller","Jessie Buckley, Jared Harris, Stellan Skarsgård",9.4,2019,https://m.media-amazon.com/images/M/MV5BZGQ2YmMxZmEtYjI5OS00NzlkLTlkNTEtYWMyMzkyMzc2MDU5XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_SX300.jpg
"Rick and Morty","An animated series that follows the exploits of a super scientist and his not-so-bright grandson.","Animation, Adventure, Comedy","Justin Roiland, Chris Parnell, Spencer Grammer",9.1,2013,https://m.media-amazon.com/images/M/MV5BZjRjOTFkOTktZWUzMi00YzMyLThkMmYtMjEwNmQyNzliYTNmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SX300.jpg
"Avatar: The Last Airbender","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Animation, Action, Adventure","Zach Tyler Eisen, Mae Whitman, Jack De Sena",9.3,2005,https://m.media-amazon.com/images/M/MV5BODc5YTBhMTItMjhkNi00ZTIxLWI0YjAtNTZmOTY0YjRlZGQ0XkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_SX300.jpg
"True Detective","Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Crime, Drama, Mystery","Vince Vaughn, Colin Farrell, Rachel McAdams",8.9,2014,https://m.media-amazon.com/images/M/MV5BMTUwMGM2ZWEtM2RmNy00M2ZkLWIyODktZTVjZGEyZDYxZmQ2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"Fargo","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Crime, Drama, Thriller","Billy Bob Thornton, Martin Freeman, Allison Tolman",8.9,2014,https://m.media-amazon.com/images/M/MV5BN2NjNGUxNzAtODM2Ni00ODJjLWEwMTEtZWRiNTg0NGJjZWRmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"Succession","The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","Drama","Nicholas Braun, Brian Cox, Kieran Culkin",8.8,2018,https://m.media-amazon.com/images/M/MV5BMjQyMTI5MjQ4N15BMl5BanBnXkFtZTgwOTAyMTgwNzM@._V1_SX300.jpg
"Westworld","Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite, no matter how noble or depraved, can be indulged.","Drama, Mystery, Sci-Fi","Evan Rachel Wood, Jeffrey Wright, Ed Harris",8.5,2016,https://m.media-amazon.com/images/M/MV5BMTRmYzNmOTctZjMwOS00ODZlLWJiZGQtNDg5NDY5NjE3MTczXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg
"House of Cards","A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.","Drama","Kevin Spacey, Michel Gill, Robin Wright",8.7,2013,https://m.media-amazon.com/images/M/MV5BODM1MDU2NjY5NF5BMl5BanBnXkFtZTgwMDkxNwIzNjE@._V1_SX300.jpg
"Daredevil","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","Action, Crime, Drama","Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll",8.6,2015,https://m.media-amazon.com/images/M/MV5BODcwOTg2MDE3NF5BMl5BanBnXkFtZTgwNTUyNTY1NjM@._V1_SX300.jpg
"The Haunting of Hill House","Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.","Drama, Horror, Mystery","Michiel Huisman, Carla Gugino, Henry Thomas",8.6,2018,https://m.media-amazon.com/images/M/MV5BMTU4NzA4MDEwNF5BMl5BanBnXkFtZTgwMTQxODYzNjM@._V1_SX300.jpg
"Money Heist","An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.","Action, Crime, Drama","Úrsula Corberó, Álvaro Morte, Itziar Ituño",8.2,2017,https://m.media-amazon.com/images/M/MV5BNDJkYzY3MzMtMGFhYi00MmQ4LWJkNTgtZGNiZWZmMTMxNzdlXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg
